time	V(shifted)
1.080000000000000e-001	6.489660e-001
1.080469501291536e-001	6.491801e-001
1.081408503874606e-001	6.496254e-001
1.083286509040748e-001	6.505646e-001
1.087042519373032e-001	6.523663e-001
1.094554540037600e-001	6.549626e-001
1.101982749974707e-001	6.551062e-001
1.110000000000000e-001	6.524093e-001
1.110894835035409e-001	6.516247e-001
1.112684505106228e-001	6.499213e-001
1.116263845247866e-001	6.461674e-001
1.123422525531140e-001	6.388901e-001
1.133430116275780e-001	6.311880e-001
1.140000000000000e-001	6.283868e-001
1.140332226311593e-001	6.284119e-001
1.140996678934778e-001	6.284915e-001
1.142325584181148e-001	6.287826e-001
1.144983394673888e-001	6.298022e-001
1.150299015659368e-001	6.328802e-001
1.159783227417588e-001	6.395077e-001
1.168741368153675e-001	6.458278e-001
1.170000000000000e-001	6.466296e-001
1.170205877964608e-001	6.467436e-001
1.170617633893822e-001	6.469676e-001
1.171441145752252e-001	6.473988e-001
1.173088169469111e-001	6.482161e-001
1.176382216902830e-001	6.498458e-001
1.182970311770267e-001	6.537866e-001
1.192037396785364e-001	6.616334e-001
1.200000000000000e-001	6.709910e-001
1.200162483558405e-001	6.712517e-001
1.200487450675215e-001	6.717786e-001
1.201137384908836e-001	6.728569e-001
1.202437253376077e-001	6.750910e-001
1.205036990310560e-001	6.796986e-001
1.210236464179525e-001	6.883825e-001
1.220635411917456e-001	7.016507e-001
1.230000000000000e-001	7.088431e-001
1.230981929498170e-001	7.086781e-001
1.232945788494509e-001	7.080385e-001
1.236873506487188e-001	7.056416e-001
1.242802575976510e-001	6.999429e-001
1.254660714955156e-001	6.854817e-001
1.260000000000000e-001	6.783772e-001
1.261189025221801e-001	6.768091e-001
1.263567075665402e-001	6.737374e-001
1.268323176552604e-001	6.678720e-001
1.277835378327008e-001	6.568680e-001
1.290000000000000e-001	6.434984e-001
1.291449069324692e-001	6.420087e-001
1.294347207974076e-001	6.391481e-001
1.300143485272843e-001	6.343464e-001
1.311736039870378e-001	6.279407e-001
1.320000000000000e-001	6.257641e-001
1.321154399328874e-001	6.259707e-001
1.323463197986623e-001	6.265938e-001
1.328080795302120e-001	6.288029e-001
1.337315989933113e-001	6.361650e-001
1.350000000000000e-001	6.497310e-001
1.350278458564908e-001	6.501210e-001
1.350835375694724e-001	6.509065e-001
1.351949209954356e-001	6.524969e-001
1.354176878473619e-001	6.556924e-001
1.358632215512146e-001	6.617128e-001
1.367542889589201e-001	6.712669e-001
1.378096075853077e-001	6.786634e-001
1.380000000000000e-001	6.792872e-001
1.380347913925747e-001	6.792891e-001
1.381043741777240e-001	6.792644e-001
1.382435397480226e-001	6.790890e-001
1.385218708886198e-001	6.783391e-001
1.390785331698142e-001	6.760143e-001
1.398384294231350e-001	6.723045e-001
1.405599004699445e-001	6.691060e-001
1.410000000000000e-001	6.676201e-001
1.410378675372847e-001	6.675541e-001
1.411136026118540e-001	6.674379e-001
1.412650727609928e-001	6.672610e-001
1.414874667728337e-001	6.670929e-001
1.419150568364891e-001	6.668536e-001
1.423240137437823e-001	6.663984e-001
1.430091710966169e-001	6.643874e-001
1.438513830923736e-001	6.599878e-001
1.440000000000000e-001	6.588815e-001
1.440278246306663e-001	6.586206e-001
1.440834738919990e-001	6.580855e-001
1.441947724146644e-001	6.569592e-001
1.444173694599951e-001	6.545587e-001
1.448625635506566e-001	6.497171e-001
1.457529517319796e-001	6.416005e-001
1.467769615852213e-001	6.354021e-001
1.470000000000000e-001	6.348176e-001
1.470121484937425e-001	6.348221e-001
1.470364454812274e-001	6.348349e-001
1.471822274061372e-001	6.350289e-001
1.473766033060168e-001	6.355312e-001
1.477653551057761e-001	6.369545e-001
1.483049712591859e-001	6.391630e-001
1.489027663227566e-001	6.410893e-001
1.494999528850226e-001	6.416464e-001
1.500000000000000e-001	6.409036e-001
1.500716189716464e-001	6.405456e-001
